title,name,value
25.4.2023,1 kk (tod.pv/360),"3,024"
25.4.2023,3 kk (tod.pv/360),"3,268"
25.4.2023,6 kk (tod.pv/360),"3,635"
25.4.2023,12 kk (tod.pv/360),"3,900"
24.4.2023,1 kk (tod.pv/360),"3,031"
24.4.2023,3 kk (tod.pv/360),"3,288"
24.4.2023,6 kk (tod.pv/360),"3,637"
24.4.2023,12 kk (tod.pv/360),"3,865"
21.4.2023,1 kk (tod.pv/360),"2,956"
21.4.2023,3 kk (tod.pv/360),"3,261"
21.4.2023,6 kk (tod.pv/360),"3,601"
21.4.2023,12 kk (tod.pv/360),"3,854"
20.4.2023,1 kk (tod.pv/360),"2,998"
20.4.2023,3 kk (tod.pv/360),"3,211"
20.4.2023,6 kk (tod.pv/360),"3,612"
20.4.2023,12 kk (tod.pv/360),"3,855"
19.4.2023,1 kk (tod.pv/360),"2,987"
19.4.2023,3 kk (tod.pv/360),"3,205"
19.4.2023,6 kk (tod.pv/360),"3,587"
19.4.2023,12 kk (tod.pv/360),"3,825"
18.4.2023,1 kk (tod.pv/360),"2,968"
18.4.2023,3 kk (tod.pv/360),"3,200"
18.4.2023,6 kk (tod.pv/360),"3,562"
18.4.2023,12 kk (tod.pv/360),"3,793"
17.4.2023,1 kk (tod.pv/360),"2,966"
17.4.2023,3 kk (tod.pv/360),"3,219"
17.4.2023,6 kk (tod.pv/360),"3,578"
17.4.2023,12 kk (tod.pv/360),"3,764"
14.4.2023,1 kk (tod.pv/360),"2,948"
14.4.2023,3 kk (tod.pv/360),"3,175"
14.4.2023,6 kk (tod.pv/360),"3,510"
14.4.2023,12 kk (tod.pv/360),"3,723"
13.4.2023,1 kk (tod.pv/360),"2,934"
13.4.2023,3 kk (tod.pv/360),"3,177"
13.4.2023,6 kk (tod.pv/360),"3,490"
13.4.2023,12 kk (tod.pv/360),"3,718"
12.4.2023,1 kk (tod.pv/360),"2,889"
12.4.2023,3 kk (tod.pv/360),"3,126"
12.4.2023,6 kk (tod.pv/360),"3,430"
12.4.2023,12 kk (tod.pv/360),"3,654"
11.4.2023,1 kk (tod.pv/360),"2,889"
11.4.2023,3 kk (tod.pv/360),"3,108"
11.4.2023,6 kk (tod.pv/360),"3,356"
11.4.2023,12 kk (tod.pv/360),"3,582"
6.4.2023,1 kk (tod.pv/360),"2,887"
6.4.2023,3 kk (tod.pv/360),"3,075"
6.4.2023,6 kk (tod.pv/360),"3,339"
6.4.2023,12 kk (tod.pv/360),"3,578"
5.4.2023,1 kk (tod.pv/360),"2,888"
5.4.2023,3 kk (tod.pv/360),"3,055"
5.4.2023,6 kk (tod.pv/360),"3,339"
5.4.2023,12 kk (tod.pv/360),"3,628"
4.4.2023,1 kk (tod.pv/360),"2,899"
4.4.2023,3 kk (tod.pv/360),"3,052"
4.4.2023,6 kk (tod.pv/360),"3,359"
4.4.2023,12 kk (tod.pv/360),"3,638"
3.4.2023,1 kk (tod.pv/360),"2,928"
3.4.2023,3 kk (tod.pv/360),"3,053"
3.4.2023,6 kk (tod.pv/360),"3,335"
3.4.2023,12 kk (tod.pv/360),"3,651"
31.3.2023,1 kk (tod.pv/360),"2,915"
31.3.2023,3 kk (tod.pv/360),"3,038"
31.3.2023,6 kk (tod.pv/360),"3,341"
31.3.2023,12 kk (tod.pv/360),"3,622"
30.3.2023,1 kk (tod.pv/360),"2,921"
30.3.2023,3 kk (tod.pv/360),"3,052"
30.3.2023,6 kk (tod.pv/360),"3,312"
30.3.2023,12 kk (tod.pv/360),"3,568"
29.3.2023,1 kk (tod.pv/360),"2,905"
29.3.2023,3 kk (tod.pv/360),"3,015"
29.3.2023,6 kk (tod.pv/360),"3,290"
29.3.2023,12 kk (tod.pv/360),"3,573"
28.3.2023,1 kk (tod.pv/360),"2,904"
28.3.2023,3 kk (tod.pv/360),"2,990"
28.3.2023,6 kk (tod.pv/360),"3,269"
28.3.2023,12 kk (tod.pv/360),"3,542"
27.3.2023,1 kk (tod.pv/360),"2,902"
27.3.2023,3 kk (tod.pv/360),"3,012"
27.3.2023,6 kk (tod.pv/360),"3,239"
27.3.2023,12 kk (tod.pv/360),"3,469"
24.3.2023,1 kk (tod.pv/360),"2,928"
24.3.2023,3 kk (tod.pv/360),"3,025"
24.3.2023,6 kk (tod.pv/360),"3,281"
24.3.2023,12 kk (tod.pv/360),"3,533"
23.3.2023,1 kk (tod.pv/360),"2,902"
23.3.2023,3 kk (tod.pv/360),"2,990"
23.3.2023,6 kk (tod.pv/360),"3,290"
23.3.2023,12 kk (tod.pv/360),"3,578"
22.3.2023,1 kk (tod.pv/360),"2,902"
22.3.2023,3 kk (tod.pv/360),"3,002"
22.3.2023,6 kk (tod.pv/360),"3,214"
22.3.2023,12 kk (tod.pv/360),"3,468"
21.3.2023,1 kk (tod.pv/360),"2,822"
21.3.2023,3 kk (tod.pv/360),"2,908"
21.3.2023,6 kk (tod.pv/360),"3,071"
21.3.2023,12 kk (tod.pv/360),"3,322"
20.3.2023,1 kk (tod.pv/360),"2,778"
20.3.2023,3 kk (tod.pv/360),"2,892"
20.3.2023,6 kk (tod.pv/360),"3,095"
20.3.2023,12 kk (tod.pv/360),"3,395"
17.3.2023,1 kk (tod.pv/360),"2,648"
17.3.2023,3 kk (tod.pv/360),"2,750"
17.3.2023,6 kk (tod.pv/360),"3,055"
17.3.2023,12 kk (tod.pv/360),"3,380"
16.3.2023,1 kk (tod.pv/360),"2,558"
16.3.2023,3 kk (tod.pv/360),"2,646"
16.3.2023,6 kk (tod.pv/360),"2,985"
16.3.2023,12 kk (tod.pv/360),"3,359"
15.3.2023,1 kk (tod.pv/360),"2,615"
15.3.2023,3 kk (tod.pv/360),"2,815"
15.3.2023,6 kk (tod.pv/360),"3,131"
15.3.2023,12 kk (tod.pv/360),"3,662"
14.3.2023,1 kk (tod.pv/360),"2,601"
14.3.2023,3 kk (tod.pv/360),"2,753"
14.3.2023,6 kk (tod.pv/360),"3,035"
14.3.2023,12 kk (tod.pv/360),"3,509"
13.3.2023,1 kk (tod.pv/360),"2,646"
13.3.2023,3 kk (tod.pv/360),"2,957"
13.3.2023,6 kk (tod.pv/360),"3,375"
13.3.2023,12 kk (tod.pv/360),"3,858"
10.3.2023,1 kk (tod.pv/360),"2,630"
10.3.2023,3 kk (tod.pv/360),"2,978"
10.3.2023,6 kk (tod.pv/360),"3,445"
10.3.2023,12 kk (tod.pv/360),"3,953"
9.3.2023,1 kk (tod.pv/360),"2,573"
9.3.2023,3 kk (tod.pv/360),"2,948"
9.3.2023,6 kk (tod.pv/360),"3,461"
