date,euribor_12_month,euribor_6_month,euribor_3_month,euribor_1_month
1999-01-04,3.209,3.223,3.234,3.242
1999-01-05,3.187,3.204,3.222,3.233
1999-01-06,3.176,3.197,3.214,3.226
1999-01-07,3.158,3.179,3.206,3.224
1999-01-08,3.139,3.166,3.196,3.217
1999-01-09,3.139,3.166,3.196,3.217
1999-01-10,3.139,3.166,3.196,3.217
1999-01-11,3.126,3.156,3.193,3.214
1999-01-12,3.122,3.153,3.19,3.213
1999-01-13,3.107,3.141,3.183,3.206
1999-01-14,3.083,3.121,3.163,3.191
1999-01-15,3.044,3.085,3.134,3.159
1999-01-16,3.044,3.085,3.134,3.159
1999-01-17,3.044,3.085,3.134,3.159
1999-01-18,3.021,3.056,3.102,3.121
1999-01-19,2.984,3.018,3.056,3.074
1999-01-20,2.985,3.014,3.054,3.074
1999-01-21,2.99,3.017,3.056,3.074
1999-01-22,2.99,3.018,3.059,3.086
1999-01-23,2.99,3.018,3.059,3.086
1999-01-24,2.99,3.018,3.059,3.086
1999-01-25,2.981,3.016,3.069,3.111
1999-01-26,2.984,3.02,3.08,3.134
1999-01-27,2.986,3.02,3.08,3.126
1999-01-28,2.981,3.017,3.077,3.123
1999-01-29,2.981,3.011,3.074,3.119
1999-01-30,2.981,3.011,3.074,3.119
1999-01-31,2.981,3.011,3.074,3.119
1999-02-01,2.998,3.017,3.078,3.126
1999-02-02,3.004,3.028,3.091,3.142
1999-02-03,3.012,3.035,3.098,3.151
1999-02-04,3.02,3.043,3.105,3.157
1999-02-05,3.026,3.044,3.107,3.156
1999-02-06,3.026,3.044,3.107,3.156
1999-02-07,3.026,3.044,3.107,3.156
1999-02-08,3.036,3.053,3.113,3.158
1999-02-09,3.041,3.054,3.112,3.157
1999-02-10,3.039,3.052,3.109,3.151
1999-02-11,3.041,3.051,3.106,3.146
1999-02-12,3.039,3.049,3.1,3.135
1999-02-13,3.039,3.049,3.1,3.135
1999-02-14,3.039,3.049,3.1,3.135
1999-02-15,3.041,3.048,3.123,3.123
1999-02-16,3.038,3.044,3.092,3.113
1999-02-17,3.034,3.04,3.086,3.103
1999-02-18,3.031,3.035,3.079,3.093
1999-02-19,3.03,3.033,3.077,3.092
1999-02-20,3.03,3.033,3.077,3.092
1999-02-21,3.03,3.033,3.077,3.092
1999-02-22,3.025,3.029,3.075,3.093
1999-02-23,3.023,3.026,3.076,3.098
1999-02-24,3.023,3.027,3.079,3.102
1999-02-25,3.036,3.038,3.087,3.111
1999-02-26,3.071,3.055,3.098,3.12
1999-02-27,3.071,3.055,3.098,3.12
1999-02-28,3.071,3.055,3.098,3.12
1999-03-01,3.079,3.059,3.099,3.122
1999-03-02,3.148,3.1,3.115,3.13
1999-03-03,3.146,3.099,3.112,3.123
1999-03-04,3.151,3.102,3.111,3.115
1999-03-05,3.13,3.092,3.104,3.109
1999-03-06,3.13,3.092,3.104,3.109
1999-03-07,3.13,3.092,3.104,3.109
1999-03-08,3.097,3.068,3.093,3.1
1999-03-09,3.084,3.061,3.087,3.095
1999-03-10,3.078,3.055,3.081,3.086
1999-03-11,3.072,3.05,3.074,3.076
1999-03-12,3.029,3.024,3.047,3.047
1999-03-13,3.029,3.024,3.047,3.047
1999-03-14,3.029,3.024,3.047,3.047
1999-03-15,3.026,3.015,3.039,3.038
1999-03-16,3.027,3.015,3.036,3.036
1999-03-17,3.027,3.017,3.038,3.042
1999-03-18,3.019,3.01,3.032,3.037
1999-03-19,3.012,3.003,3.027,3.031
1999-03-20,3.012,3.003,3.027,3.031
1999-03-21,3.012,3.003,3.027,3.031
1999-03-22,3.009,2.999,3.02,3.025
1999-03-23,3.011,2.999,3.019,3.024
1999-03-24,3.01,2.995,3.014,3.02
1999-03-25,2.992,2.975,2.998,3.008
1999-03-26,2.985,2.967,2.991,3.004
1999-03-27,2.985,2.967,2.991,3.004
1999-03-28,2.985,2.967,2.991,3.004
1999-03-29,2.985,2.963,2.985,3.002
1999-03-30,2.978,2.956,2.981,2.998
1999-03-31,2.967,2.95,2.971,2.992
1999-04-01,2.939,2.92,2.942,2.963
1999-04-02,2.932,2.914,2.929,2.952
1999-04-03,2.932,2.914,2.929,2.952
1999-04-04,2.932,2.914,2.929,2.952
1999-04-05,2.93,2.912,2.929,2.951
1999-04-06,2.907,2.889,2.905,2.933
1999-04-07,2.903,2.883,2.9,2.929
1999-04-08,2.899,2.879,2.895,2.927
